0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0176808 -0.000315202 0.954419 0 0 0 -nan -nan 0 0 0 0 0 0 0 -0.0176764 0.124685 3.61715e-08 -0.0176764 -0.125315 3.61715e-08 
60.0071 1.5759 649.848 -0.153795 -18.695 -0.366695 68.603 -1.41228 648.658 0.346309 -14.5151 0.27661 -0.467132 0.00453292 10.0833 -0.0176756 -0.000315288 0.954424 0.00262205 -4.27613e-05 0.00239368 0.00784777 -5.22043e-05 0 0.0110408 0.124448 0 0.00464892 -0.124781 0 -0.0177242 0.124685 3.69304e-05 -0.0177242 -0.125315 3.73838e-05 
18.952 0.794238 688.254 1.448 25.2997 3.39683 10.2786 2.23591 688.502 -1.47815 21.0416 -3.51702 -19.5025 0.0980495 8.371 -0.0174615 -0.000316224 0.954465 0.107032 -0.000468015 0.0209303 -0.051492 -0.0003594 0 -0.0545919 0.126789 0 -0.0483932 -0.127462 0 -0.0178296 0.124685 0.00011004 -0.0178302 -0.125315 0.000110353 
27.1949 0.857342 788.293 1.17872 11.1807 2.41838 28.5481 1.86885 785.322 -1.29823 12.2365 -2.76419 -31.9846 0.191767 7.55745 -0.0173248 -0.000316982 0.95451 0.0683752 -0.000379141 0.022343 -0.0328181 -0.000155346 0 -0.0321196 0.12618 0 -0.0335192 -0.126968 0 -0.0179305 0.124685 0.00016744 -0.0179316 -0.125315 0.000167713 
107.377 2.64135 892.414 -0.639922 0.141095 -1.16578 107.828 0.0269329 891.766 0.0748558 0.480737 0.331362 -21.0076 0.227571 10.0372 -0.0173384 -0.000317193 0.95455 -0.00678329 -0.000105384 0.019818 -0.0182828 -0.000587358 0 -0.0180915 0.123966 0 -0.0184742 -0.125231 0 -0.0179101 0.124684 0.000193728 -0.0179117 -0.125315 0.000194098 
177.835 4.08581 877.137 -2.14726 -0.934685 -4.18297 178.025 -2.51558 878.471 1.81862 -0.961175 3.18876 9.38647 0.193821 15.4283 -0.0174611 -0.000316707 0.954595 -0.0613665 0.000242838 0.0227238 -0.0167076 -0.00059879 0 -0.0167209 0.122234 0 -0.0166944 -0.123245 0 -0.0177473 0.124683 0.000193315 -0.0177492 -0.125316 0.000193908 
183.481 3.58058 743.425 -2.02511 5.87618 -4.26609 183.52 -2.85431 744.925 1.83877 5.77045 3.18846 40.5884 0.109994 21.0181 -0.0175958 -0.000315617 0.954662 -0.0673375 0.000544951 0.0333504 -0.0253949 -0.000568478 0 -0.0254728 0.121957 0 -0.0253172 -0.122847 0 -0.0175233 0.124682 0.000183608 -0.0175254 -0.125317 0.000184515 
144.604 2.37694 596.525 -1.21261 11.7879 -2.61478 144.241 -2.36537 595.875 1.05445 11.7325 1.58848 56.9858 0.00210108 24.1836 -0.0176809 -0.000314114 0.954755 -0.0425951 0.000751544 0.0464525 -0.0371109 -0.000382363 0 -0.0371456 0.122648 0 -0.0370762 -0.123547 0 -0.0173407 0.124682 0.000181202 -0.0173425 -0.125317 0.000182301 
104.485 1.37026 494.503 -0.485165 10.9726 -1.07711 104.223 -1.96339 495.375 0.480891 10.9291 0.283294 55.4975 -0.0978028 23.9668 -0.0177125 -0.000312464 0.954869 -0.015787 0.000824853 0.0568869 -0.0394253 -0.000432251 0 -0.0394882 0.1237 0 -0.0393625 -0.124346 0 -0.0172577 0.124682 0.000195339 -0.0172589 -0.125318 0.000196437 
82.0543 0.418315 410.692 0.0492845 6.37659 -0.253927 81.5129 -1.50426 410.211 0.121553 6.35594 -0.254518 42.277 -0.161859 20.94 -0.0177099 -0.000310961 0.954994 0.00131797 0.000751464 0.0625633 -0.0328307 -3.58465e-05 0 -0.0328467 0.124802 0 -0.0328148 -0.12502 0 -0.0172749 0.124682 0.000226758 -0.0172752 -0.125317 0.000227724 
72.906 0.263746 342.21 0.0847116 1.98016 -0.0830591 72.4703 -1.43198 341.141 0.217494 2.07958 -0.140247 25.0445 -0.175816 16.492 -0.0176853 -0.000309763 0.955119 0.0122907 0.000598994 0.0628077 -0.0233627 0.000321674 0 -0.0232085 0.124931 0 -0.0235174 -0.124678 0 -0.0173645 0.124683 0.000270783 -0.0173638 -0.125317 0.000271501 
